UniqID	ICD-10_Description	ICD-9_Description
018973	Adverse effect of antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017620	Poisoning by androgens and anabolic congeners, accidental (unintentional), initial encounter	Poisoning by androgens and anabolic congeners
017621	Poisoning by androgens and anabolic congeners, intentional self-harm, initial encounter	Poisoning by androgens and anabolic congeners
017622	Poisoning by androgens and anabolic congeners, assault, initial encounter	Poisoning by androgens and anabolic congeners
017623	Poisoning by androgens and anabolic congeners, undetermined, initial encounter	Poisoning by androgens and anabolic congeners
018974	Adverse effect of androgens and anabolic congeners, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017650	Poisoning by unspecified hormones and synthetic substitutes, accidental (unintentional), initial encounter	Poisoning by other and unspecified hormones and synthetic substitutes
017651	Poisoning by unspecified hormones and synthetic substitutes, intentional self-harm, initial encounter	Poisoning by other and unspecified hormones and synthetic substitutes
017652	Poisoning by unspecified hormones and synthetic substitutes, assault, initial encounter	Poisoning by other and unspecified hormones and synthetic substitutes
017653	Poisoning by unspecified hormones and synthetic substitutes, undetermined, initial encounter	Poisoning by other and unspecified hormones and synthetic substitutes
018975	Adverse effect of unspecified hormones and synthetic substitutes, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017636	Poisoning by anterior pituitary [adenohypophyseal] hormones, accidental (unintentional), initial encounter	Poisoning by anterior pituitary hormones
017637	Poisoning by anterior pituitary [adenohypophyseal] hormones, intentional self-harm, initial encounter	Poisoning by anterior pituitary hormones
017638	Poisoning by anterior pituitary [adenohypophyseal] hormones, assault, initial encounter	Poisoning by anterior pituitary hormones
017639	Poisoning by anterior pituitary [adenohypophyseal] hormones, undetermined, initial encounter	Poisoning by anterior pituitary hormones
018976	Adverse effect of anterior pituitary [adenohypophyseal] hormones, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017640	Poisoning by other hormones and synthetic substitutes, accidental (unintentional), initial encounter	Poisoning by posterior pituitary hormones
017641	Poisoning by other hormones and synthetic substitutes, accidental (unintentional), initial encounter	Poisoning by parathyroid and parathyroid derivatives
017654	Poisoning by other hormones and synthetic substitutes, accidental (unintentional), initial encounter	Poisoning by other and unspecified hormones and synthetic substitutes
017655	Poisoning by other hormones and synthetic substitutes, intentional self-harm, initial encounter	Poisoning by other and unspecified hormones and synthetic substitutes
017656	Poisoning by other hormones and synthetic substitutes, assault, initial encounter	Poisoning by other and unspecified hormones and synthetic substitutes
017657	Poisoning by other hormones and synthetic substitutes, undetermined, initial encounter	Poisoning by other and unspecified hormones and synthetic substitutes
018977	Adverse effect of other hormones and synthetic substitutes, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017658	Poisoning by unspecified hormone antagonists, accidental (unintentional), initial encounter	Poisoning by other and unspecified hormones and synthetic substitutes
017659	Poisoning by unspecified hormone antagonists, intentional self-harm, initial encounter	Poisoning by other and unspecified hormones and synthetic substitutes
017660	Poisoning by unspecified hormone antagonists, assault, initial encounter	Poisoning by other and unspecified hormones and synthetic substitutes
017661	Poisoning by unspecified hormone antagonists, undetermined, initial encounter	Poisoning by other and unspecified hormones and synthetic substitutes
018978	Adverse effect of unspecified hormone antagonists, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017662	Poisoning by other hormone antagonists, accidental (unintentional), initial encounter	Poisoning by other and unspecified hormones and synthetic substitutes
017663	Poisoning by other hormone antagonists, intentional self-harm, initial encounter	Poisoning by other and unspecified hormones and synthetic substitutes
017664	Poisoning by other hormone antagonists, assault, initial encounter	Poisoning by other and unspecified hormones and synthetic substitutes
017665	Poisoning by other hormone antagonists, undetermined, initial encounter	Poisoning by other and unspecified hormones and synthetic substitutes
018979	Adverse effect of other hormone antagonists, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017770	Poisoning by aspirin, accidental (unintentional), initial encounter	Poisoning by salicylates
017771	Poisoning by aspirin, intentional self-harm, initial encounter	Poisoning by salicylates
017772	Poisoning by aspirin, assault, initial encounter	Poisoning by salicylates
017773	Poisoning by aspirin, undetermined, initial encounter	Poisoning by salicylates
018980	Adverse effect of aspirin, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017774	Poisoning by salicylates, accidental (unintentional), initial encounter	Poisoning by salicylates
017775	Poisoning by salicylates, intentional self-harm, initial encounter	Poisoning by salicylates
017776	Poisoning by salicylates, assault, initial encounter	Poisoning by salicylates
017777	Poisoning by salicylates, undetermined, initial encounter	Poisoning by salicylates
018981	Adverse effect of salicylates, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017779	Poisoning by 4-Aminophenol derivatives, accidental (unintentional), initial encounter	Poisoning by aromatic analgesics, not elsewhere classified
017780	Poisoning by 4-Aminophenol derivatives, intentional self-harm, initial encounter	Poisoning by aromatic analgesics, not elsewhere classified
017781	Poisoning by 4-Aminophenol derivatives, assault, initial encounter	Poisoning by aromatic analgesics, not elsewhere classified
017782	Poisoning by 4-Aminophenol derivatives, undetermined, initial encounter	Poisoning by aromatic analgesics, not elsewhere classified
018982	Adverse effect of 4-Aminophenol derivatives, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017783	Poisoning by pyrazolone derivatives, accidental (unintentional), initial encounter	Poisoning by pyrazole derivatives
017784	Poisoning by pyrazolone derivatives, intentional self-harm, initial encounter	Poisoning by pyrazole derivatives
017785	Poisoning by pyrazolone derivatives, assault, initial encounter	Poisoning by pyrazole derivatives
017786	Poisoning by pyrazolone derivatives, undetermined, initial encounter	Poisoning by pyrazole derivatives
018983	Adverse effect of pyrazolone derivatives, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017787	Poisoning by propionic acid derivatives, accidental (unintentional), initial encounter	Poisoning by propionic acid derivatives
017788	Poisoning by propionic acid derivatives, intentional self-harm, initial encounter	Poisoning by propionic acid derivatives
017789	Poisoning by propionic acid derivatives, assault, initial encounter	Poisoning by propionic acid derivatives
017778	Poisoning by propionic acid derivatives, undetermined, initial encounter	Poisoning by salicylates
018984	Adverse effect of propionic acid derivatives, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017790	Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], accidental (unintentional), initial encounter	Poisoning by propionic acid derivatives
017791	Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], intentional self-harm, initial encounter	Poisoning by propionic acid derivatives
017792	Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], assault, initial encounter	Poisoning by propionic acid derivatives
017793	Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], undetermined, initial encounter	Poisoning by propionic acid derivatives
018985	Adverse effect of other nonsteroidal anti-inflammatory drugs [NSAID], initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017794	Poisoning by antirheumatics, not elsewhere classified, accidental (unintentional), initial encounter	Poisoning by other antirheumatics
017795	Poisoning by antirheumatics, not elsewhere classified, intentional self-harm, initial encounter	Poisoning by other antirheumatics
017796	Poisoning by antirheumatics, not elsewhere classified, assault, initial encounter	Poisoning by other antirheumatics
017797	Poisoning by antirheumatics, not elsewhere classified, undetermined, initial encounter	Poisoning by other antirheumatics
018986	Adverse effect of antirheumatics, not elsewhere classified, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017798	Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, accidental (unintentional), initial encounter	Poisoning by other non-narcotic analgesics
017802	Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, accidental (unintentional), initial encounter	Poisoning by other specified analgesics and antipyretics
017799	Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm, initial encounter	Poisoning by other non-narcotic analgesics
017803	Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm, initial encounter	Poisoning by other specified analgesics and antipyretics
017800	Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, assault, initial encounter	Poisoning by other non-narcotic analgesics
017804	Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, assault, initial encounter	Poisoning by other specified analgesics and antipyretics
017801	Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, undetermined, initial encounter	Poisoning by other non-narcotic analgesics
017805	Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, undetermined, initial encounter	Poisoning by other specified analgesics and antipyretics
018987	Adverse effect of other nonopioid analgesics and antipyretics, not elsewhere classified, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017806	Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, accidental (unintentional), initial encounter	Poisoning by unspecified analgesic and antipyretic
017807	Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, intentional self-harm, initial encounter	Poisoning by unspecified analgesic and antipyretic
017808	Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, assault, initial encounter	Poisoning by unspecified analgesic and antipyretic
017809	Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, undetermined, initial encounter	Poisoning by unspecified analgesic and antipyretic
018988	Adverse effect of unspecified nonopioid analgesic, antipyretic and antirheumatic, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017742	Poisoning by opium, accidental (unintentional), initial encounter	Poisoning by opium (alkaloids), unspecified
017743	Poisoning by opium, intentional self-harm, initial encounter	Poisoning by opium (alkaloids), unspecified
017744	Poisoning by opium, assault, initial encounter	Poisoning by opium (alkaloids), unspecified
017745	Poisoning by opium, undetermined, initial encounter	Poisoning by opium (alkaloids), unspecified
018989	Adverse effect of opium, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017746	Poisoning by heroin, accidental (unintentional), initial encounter	Poisoning by heroin
017747	Poisoning by heroin, intentional self-harm, initial encounter	Poisoning by heroin
017748	Poisoning by heroin, assault, initial encounter	Poisoning by heroin
017749	Poisoning by heroin, undetermined, initial encounter	Poisoning by heroin
017754	Poisoning by other opioids, accidental (unintentional), initial encounter	Poisoning by other opiates and related narcotics
017755	Poisoning by other opioids, intentional self-harm, initial encounter	Poisoning by other opiates and related narcotics
017756	Poisoning by other opioids, assault, initial encounter	Poisoning by other opiates and related narcotics
017757	Poisoning by other opioids, undetermined, initial encounter	Poisoning by other opiates and related narcotics
018990	Adverse effect of other opioids, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017750	Poisoning by methadone, accidental (unintentional), initial encounter	Poisoning by methadone
017751	Poisoning by methadone, intentional self-harm, initial encounter	Poisoning by methadone
017752	Poisoning by methadone, assault, initial encounter	Poisoning by methadone
017753	Poisoning by methadone, undetermined, initial encounter	Poisoning by methadone
018991	Adverse effect of methadone, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017758	Poisoning by other synthetic narcotics, accidental (unintentional), initial encounter	Poisoning by other opiates and related narcotics
017759	Poisoning by other synthetic narcotics, intentional self-harm, initial encounter	Poisoning by other opiates and related narcotics
017760	Poisoning by other synthetic narcotics, assault, initial encounter	Poisoning by other opiates and related narcotics
017761	Poisoning by other synthetic narcotics, undetermined, initial encounter	Poisoning by other opiates and related narcotics
018992	Adverse effect of other synthetic narcotics, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017992	Poisoning by cocaine, accidental (unintentional), initial encounter	Poisoning by cocaine
017993	Poisoning by cocaine, intentional self-harm, initial encounter	Poisoning by cocaine
017994	Poisoning by cocaine, assault, initial encounter	Poisoning by cocaine
017995	Poisoning by cocaine, undetermined, initial encounter	Poisoning by cocaine
018993	Adverse effect of cocaine, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017762	Poisoning by unspecified narcotics, accidental (unintentional), initial encounter	Poisoning by other opiates and related narcotics
017763	Poisoning by unspecified narcotics, intentional self-harm, initial encounter	Poisoning by other opiates and related narcotics
017764	Poisoning by unspecified narcotics, assault, initial encounter	Poisoning by other opiates and related narcotics
017765	Poisoning by unspecified narcotics, undetermined, initial encounter	Poisoning by other opiates and related narcotics
018994	Adverse effect of unspecified narcotics, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017766	Poisoning by other narcotics, accidental (unintentional), initial encounter	Poisoning by other opiates and related narcotics
017767	Poisoning by other narcotics, intentional self-harm, initial encounter	Poisoning by other opiates and related narcotics
017768	Poisoning by other narcotics, assault, initial encounter	Poisoning by other opiates and related narcotics
017769	Poisoning by other narcotics, undetermined, initial encounter	Poisoning by other opiates and related narcotics
018995	Adverse effect of other narcotics, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017941	Poisoning by cannabis (derivatives), accidental (unintentional), initial encounter	Poisoning by psychodysleptics (hallucinogens)
017942	Poisoning by cannabis (derivatives), intentional self-harm, initial encounter	Poisoning by psychodysleptics (hallucinogens)
017943	Poisoning by cannabis (derivatives), assault, initial encounter	Poisoning by psychodysleptics (hallucinogens)
017944	Poisoning by cannabis (derivatives), undetermined, initial encounter	Poisoning by psychodysleptics (hallucinogens)
018996	Adverse effect of cannabis (derivatives), initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017945	Poisoning by lysergide [LSD], intentional self-harm, initial encounter	Poisoning by psychodysleptics (hallucinogens)
017946	Poisoning by lysergide [LSD], assault, initial encounter	Poisoning by psychodysleptics (hallucinogens)
017947	Poisoning by lysergide [LSD], undetermined, initial encounter	Poisoning by psychodysleptics (hallucinogens)
017948	Poisoning by unspecified psychodysleptics [hallucinogens], accidental (unintentional), initial encounter	Poisoning by psychodysleptics (hallucinogens)
017949	Poisoning by unspecified psychodysleptics [hallucinogens], intentional self-harm, initial encounter	Poisoning by psychodysleptics (hallucinogens)
017950	Poisoning by unspecified psychodysleptics [hallucinogens], assault, initial encounter	Poisoning by psychodysleptics (hallucinogens)
017951	Poisoning by unspecified psychodysleptics [hallucinogens], undetermined, initial encounter	Poisoning by psychodysleptics (hallucinogens)
018997	Adverse effect of unspecified psychodysleptics [hallucinogens], initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017952	Poisoning by other psychodysleptics [hallucinogens], accidental (unintentional), initial encounter	Poisoning by psychodysleptics (hallucinogens)
017953	Poisoning by other psychodysleptics [hallucinogens], intentional self-harm, initial encounter	Poisoning by psychodysleptics (hallucinogens)
017954	Poisoning by other psychodysleptics [hallucinogens], assault, initial encounter	Poisoning by psychodysleptics (hallucinogens)
017955	Poisoning by other psychodysleptics [hallucinogens], undetermined, initial encounter	Poisoning by psychodysleptics (hallucinogens)
018998	Adverse effect of other psychodysleptics [hallucinogens], initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017864	Poisoning by inhaled anesthetics, accidental (unintentional), initial encounter	Poisoning by halothane
017865	Poisoning by inhaled anesthetics, accidental (unintentional), initial encounter	Poisoning by other gaseous anesthetics
017866	Poisoning by inhaled anesthetics, intentional self-harm, initial encounter	Poisoning by other gaseous anesthetics
017867	Poisoning by inhaled anesthetics, assault, initial encounter	Poisoning by other gaseous anesthetics
017868	Poisoning by inhaled anesthetics, undetermined, initial encounter	Poisoning by other gaseous anesthetics
018940	Adverse effect of inhaled anesthetics, initial encounter	Unspecified adverse effect of anesthesia
017869	Poisoning by intravenous anesthetics, accidental (unintentional), initial encounter	Poisoning by intravenous anesthetics
017870	Poisoning by intravenous anesthetics, intentional self-harm, initial encounter	Poisoning by intravenous anesthetics
017871	Poisoning by intravenous anesthetics, assault, initial encounter	Poisoning by intravenous anesthetics
017872	Poisoning by intravenous anesthetics, undetermined, initial encounter	Poisoning by intravenous anesthetics
018941	Adverse effect of intravenous anesthetics, initial encounter	Unspecified adverse effect of anesthesia
017873	Poisoning by unspecified general anesthetics, accidental (unintentional), initial encounter	Poisoning by other and unspecified general anesthetics
017874	Poisoning by unspecified general anesthetics, intentional self-harm, initial encounter	Poisoning by other and unspecified general anesthetics
017875	Poisoning by unspecified general anesthetics, assault, initial encounter	Poisoning by other and unspecified general anesthetics
017876	Poisoning by unspecified general anesthetics, undetermined, initial encounter	Poisoning by other and unspecified general anesthetics
018942	Adverse effect of unspecified general anesthetics, initial encounter	Unspecified adverse effect of anesthesia
017877	Poisoning by other general anesthetics, accidental (unintentional), initial encounter	Poisoning by other and unspecified general anesthetics
017878	Poisoning by other general anesthetics, intentional self-harm, initial encounter	Poisoning by other and unspecified general anesthetics
017879	Poisoning by other general anesthetics, assault, initial encounter	Poisoning by other and unspecified general anesthetics
017880	Poisoning by other general anesthetics, undetermined, initial encounter	Poisoning by other and unspecified general anesthetics
018943	Adverse effect of other general anesthetics, initial encounter	Unspecified adverse effect of anesthesia
017881	Poisoning by local anesthetics, accidental (unintentional), initial encounter	Surface (topical) and infiltration anesthetics
017882	Poisoning by local anesthetics, accidental (unintentional), initial encounter	Poisoning by peripheral nerve- and plexus-blocking anesthetics
017883	Poisoning by local anesthetics, accidental (unintentional), initial encounter	Poisoning by spinal anesthetics
017884	Poisoning by local anesthetics, accidental (unintentional), initial encounter	Poisoning by other and unspecified local anesthetics
017885	Poisoning by local anesthetics, intentional self-harm, initial encounter	Poisoning by other and unspecified local anesthetics
017886	Poisoning by local anesthetics, assault, initial encounter	Poisoning by other and unspecified local anesthetics
017887	Poisoning by local anesthetics, undetermined, initial encounter	Poisoning by other and unspecified local anesthetics
018944	Adverse effect of local anesthetics, initial encounter	Unspecified adverse effect of anesthesia
017888	Poisoning by unspecified anesthetic, accidental (unintentional), initial encounter	Poisoning by other and unspecified local anesthetics
017889	Poisoning by unspecified anesthetic, intentional self-harm, initial encounter	Poisoning by other and unspecified local anesthetics
017890	Poisoning by unspecified anesthetic, assault, initial encounter	Poisoning by other and unspecified local anesthetics
017891	Poisoning by unspecified anesthetic, undetermined, initial encounter	Poisoning by other and unspecified local anesthetics
018945	Adverse effect of unspecified anesthetic, initial encounter	Unspecified adverse effect of anesthesia
018185	Poisoning by therapeutic gases, accidental (unintentional), initial encounter	Poisoning by other and unspecified respiratory drugs
018186	Poisoning by therapeutic gases, intentional self-harm, initial encounter	Poisoning by other and unspecified respiratory drugs
018187	Poisoning by therapeutic gases, assault, initial encounter	Poisoning by other and unspecified respiratory drugs
018188	Poisoning by therapeutic gases, undetermined, initial encounter	Poisoning by other and unspecified respiratory drugs
018999	Adverse effect of therapeutic gases, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017814	Poisoning by hydantoin derivatives, accidental (unintentional), initial encounter	Poisoning by hydantoin derivatives
017815	Poisoning by hydantoin derivatives, intentional self-harm, initial encounter	Poisoning by hydantoin derivatives
017816	Poisoning by hydantoin derivatives, assault, initial encounter	Poisoning by hydantoin derivatives
017817	Poisoning by hydantoin derivatives, undetermined, initial encounter	Poisoning by hydantoin derivatives
019000	Adverse effect of hydantoin derivatives, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017822	Poisoning by iminostilbenes, accidental (unintentional), initial encounter	Poisoning by other and unspecified anticonvulsants
017823	Poisoning by iminostilbenes, intentional self-harm, initial encounter	Poisoning by other and unspecified anticonvulsants
017824	Poisoning by iminostilbenes, assault, initial encounter	Poisoning by other and unspecified anticonvulsants
017825	Poisoning by iminostilbenes, undetermined, initial encounter	Poisoning by other and unspecified anticonvulsants
019001	Adverse effect of iminostilbenes, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017810	Poisoning by succinimides and oxazolidinediones, accidental (unintentional), initial encounter	Poisoning by oxazolidine derivatives
017818	Poisoning by succinimides and oxazolidinediones, accidental (unintentional), initial encounter	Poisoning by succinimides
017811	Poisoning by succinimides and oxazolidinediones, intentional self-harm, initial encounter	Poisoning by oxazolidine derivatives
017819	Poisoning by succinimides and oxazolidinediones, intentional self-harm, initial encounter	Poisoning by succinimides
017812	Poisoning by succinimides and oxazolidinediones, assault, initial encounter	Poisoning by oxazolidine derivatives
017820	Poisoning by succinimides and oxazolidinediones, assault, initial encounter	Poisoning by succinimides
017813	Poisoning by succinimides and oxazolidinediones, undetermined, initial encounter	Poisoning by oxazolidine derivatives
017821	Poisoning by succinimides and oxazolidinediones, undetermined, initial encounter	Poisoning by succinimides
019002	Adverse effect of succinimides and oxazolidinediones, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017842	Poisoning by barbiturates, accidental (unintentional), initial encounter	Poisoning by barbiturates
017843	Poisoning by barbiturates, intentional self-harm, initial encounter	Poisoning by barbiturates
017844	Poisoning by barbiturates, assault, initial encounter	Poisoning by barbiturates
017845	Poisoning by barbiturates, undetermined, initial encounter	Poisoning by barbiturates
019003	Adverse effect of barbiturates, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017936	Poisoning by benzodiazepines, accidental (unintentional), initial encounter	Poisoning by benzodiazepine-based tranquilizers
017937	Poisoning by benzodiazepines, intentional self-harm, initial encounter	Poisoning by benzodiazepine-based tranquilizers
017938	Poisoning by benzodiazepines, assault, initial encounter	Poisoning by benzodiazepine-based tranquilizers
017939	Poisoning by benzodiazepines, undetermined, initial encounter	Poisoning by benzodiazepine-based tranquilizers
019004	Adverse effect of benzodiazepines, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017826	Poisoning by mixed antiepileptics, accidental (unintentional), initial encounter	Poisoning by other and unspecified anticonvulsants
017827	Poisoning by mixed antiepileptics, intentional self-harm, initial encounter	Poisoning by other and unspecified anticonvulsants
017828	Poisoning by mixed antiepileptics, assault, initial encounter	Poisoning by other and unspecified anticonvulsants
017829	Poisoning by mixed antiepileptics, undetermined, initial encounter	Poisoning by other and unspecified anticonvulsants
019005	Adverse effect of mixed antiepileptics, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017830	Poisoning by other antiepileptic and sedative-hypnotic drugs, accidental (unintentional), initial encounter	Poisoning by other and unspecified anticonvulsants
017846	Poisoning by other antiepileptic and sedative-hypnotic drugs, accidental (unintentional), initial encounter	Poisoning by chloral hydrate group
017847	Poisoning by other antiepileptic and sedative-hypnotic drugs, accidental (unintentional), initial encounter	Poisoning by paraldehyde
017848	Poisoning by other antiepileptic and sedative-hypnotic drugs, accidental (unintentional), initial encounter	Poisoning by bromine compounds
017849	Poisoning by other antiepileptic and sedative-hypnotic drugs, accidental (unintentional), initial encounter	Poisoning by methaqualone compounds
017850	Poisoning by other antiepileptic and sedative-hypnotic drugs, accidental (unintentional), initial encounter	Poisoning by glutethimide group
017851	Poisoning by other antiepileptic and sedative-hypnotic drugs, accidental (unintentional), initial encounter	Poisoning by mixed sedatives, not elsewhere classified
017852	Poisoning by other antiepileptic and sedative-hypnotic drugs, accidental (unintentional), initial encounter	Poisoning by other sedatives and hypnotics
017831	Poisoning by other antiepileptic and sedative-hypnotic drugs, intentional self-harm, initial encounter	Poisoning by other and unspecified anticonvulsants
017853	Poisoning by other antiepileptic and sedative-hypnotic drugs, intentional self-harm, initial encounter	Poisoning by other sedatives and hypnotics
017832	Poisoning by other antiepileptic and sedative-hypnotic drugs, assault, initial encounter	Poisoning by other and unspecified anticonvulsants
017854	Poisoning by other antiepileptic and sedative-hypnotic drugs, assault, initial encounter	Poisoning by other sedatives and hypnotics
017833	Poisoning by other antiepileptic and sedative-hypnotic drugs, undetermined, initial encounter	Poisoning by other and unspecified anticonvulsants
017855	Poisoning by other antiepileptic and sedative-hypnotic drugs, undetermined, initial encounter	Poisoning by other sedatives and hypnotics
019006	Adverse effect of other antiepileptic and sedative-hypnotic drugs, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017834	Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, accidental (unintentional), initial encounter	Poisoning by other and unspecified anticonvulsants
017856	Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, accidental (unintentional), initial encounter	Poisoning by unspecified sedative or hypnotic
017835	Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, intentional self-harm, initial encounter	Poisoning by other and unspecified anticonvulsants
017857	Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, intentional self-harm, initial encounter	Poisoning by unspecified sedative or hypnotic
017836	Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, assault, initial encounter	Poisoning by other and unspecified anticonvulsants
017858	Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, assault, initial encounter	Poisoning by unspecified sedative or hypnotic
017837	Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, undetermined, initial encounter	Poisoning by other and unspecified anticonvulsants
017859	Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, undetermined, initial encounter	Poisoning by unspecified sedative or hypnotic
019007	Adverse effect of unspecified antiepileptic and sedative-hypnotic drugs, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017838	Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, accidental (unintentional), initial encounter	Poisoning by anti-Parkinsonism drugs
017860	Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, accidental (unintentional), initial encounter	Poisoning by central nervous system muscle-tone depressants
017839	Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, intentional self-harm, initial encounter	Poisoning by anti-Parkinsonism drugs
017861	Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, intentional self-harm, initial encounter	Poisoning by central nervous system muscle-tone depressants
017840	Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, assault, initial encounter	Poisoning by anti-Parkinsonism drugs
017862	Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, assault, initial encounter	Poisoning by central nervous system muscle-tone depressants
017841	Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, undetermined, initial encounter	Poisoning by anti-Parkinsonism drugs
017863	Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, undetermined, initial encounter	Poisoning by central nervous system muscle-tone depressants
019008	Adverse effect of antiparkinsonism drugs and other central muscle-tone depressants, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017912	Poisoning by tricyclic antidepressants, accidental (unintentional), initial encounter	Poisoning by tricyclic antidepressants
017913	Poisoning by tricyclic antidepressants, intentional self-harm, initial encounter	Poisoning by tricyclic antidepressants
017914	Poisoning by tricyclic antidepressants, assault, initial encounter	Poisoning by tricyclic antidepressants
017915	Poisoning by tricyclic antidepressants, undetermined, initial encounter	Poisoning by tricyclic antidepressants
019009	Adverse effect of tricyclic antidepressants, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017908	Poisoning by tetracyclic antidepressants, accidental (unintentional), initial encounter	Poisoning by tetracyclic antidepressants
017909	Poisoning by tetracyclic antidepressants, intentional self-harm, initial encounter	Poisoning by tetracyclic antidepressants
017910	Poisoning by tetracyclic antidepressants, assault, initial encounter	Poisoning by tetracyclic antidepressants
017911	Poisoning by tetracyclic antidepressants, undetermined, initial encounter	Poisoning by tetracyclic antidepressants
019010	Adverse effect of tetracyclic antidepressants, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017896	Poisoning by monoamine-oxidase-inhibitor antidepressants, accidental (unintentional), initial encounter	Poisoning by monoamine oxidase inhibitors
017897	Poisoning by monoamine-oxidase-inhibitor antidepressants, intentional self-harm, initial encounter	Poisoning by monoamine oxidase inhibitors
017898	Poisoning by monoamine-oxidase-inhibitor antidepressants, assault, initial encounter	Poisoning by monoamine oxidase inhibitors
017899	Poisoning by monoamine-oxidase-inhibitor antidepressants, undetermined, initial encounter	Poisoning by monoamine oxidase inhibitors
019011	Adverse effect of monoamine-oxidase-inhibitor antidepressants, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017892	Poisoning by unspecified antidepressants, accidental (unintentional), initial encounter	Poisoning by antidepressant, unspecified
017893	Poisoning by unspecified antidepressants, intentional self-harm, initial encounter	Poisoning by antidepressant, unspecified
017894	Poisoning by unspecified antidepressants, assault, initial encounter	Poisoning by antidepressant, unspecified
017895	Poisoning by unspecified antidepressants, undetermined, initial encounter	Poisoning by antidepressant, unspecified
019012	Adverse effect of unspecified antidepressants, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
